GOV,1295,Comparative Politics in Latin America,MW 2:00pm–3:30pm,91
ECON,1011b,Macroeconomic Theory,TuTh 10:00am–11:30am,92
SCI-PHYUNV,30,Life as a Planetary Phenomenon,TuTh 11:30am–1:00pm,92
PSY,18,Abnormal Psychology,TuTh 11:30am–1:00pm,94
CULTR&BLF,31,"Saints, Heretics, and Atheists: An Historical Introduction to the Philosophy of Religion",MWF 1:00pm–2:00pm,99
SOCIOL,25,Introduction to the Sociology of Organizations,MW 11:00am–12:00pm,100
ETH-REASON,11,Human Rights: A Philosophical Introduction,MW 11:00am–12:00pm,104
JAPNHIST,145,Lady Samurai in Medieval Japan,TuTh 11:30am–1:00pm,104
APMTH,50,Introduction to Applied Mathematics,MW 1:00pm-2:30pm,107
ETH-REASON,12,Political Justice and Political Trials,W 2:00pm–4:00pm,107
MCB,54,Cell Biology,MWF 10:00am–11:00am,108
CULTR&BLF,25,"Studying Buddhism, Across Place and Time",TuTh 11:30am–1:00pm,111
AESTH&INTP,31,American Musicals and American Culture,TuTh 12:00pm-1:00pm,112
CHEM,20,Organic Chemistry,MWF 9:00am–10:00am,112
SCI-PHYUNV,19,The Energetic Universe,TuTh 11:30am–1:00pm,114
SOC-STD,10b,Introduction to Social Studies,Tu 2:00pm–4:00pm,120
STAT,100,Introduction to Quantitative Methods for the Social Sciences and Humanities,MWF 11:00am–12:00pm,120
APMTH,21b,Mathematical Methods in the Sciences,MWF 11:00am-12:00pm,126
GOV,97,Tutorial-Sophomore Year,M 2:00pm–3:30pm,139
SOCIOL,190,Life and Death in the US: Medicine and Disease in Social Context,MW 3:00pm–4:00pm,142
OEB,57,Animal Behavior,TuTh 10:00am–11:00am,143
ECON,1420,American Economic Policy,MWF 10:00am–11:00am,145
SCI-PHYUNV,12,Natural Disasters,TuTh 10:00am–11:30am,145
SOC-WORLD,14,The British Empire,MW 10:00am–11:00am,151
STAT,107,Introduction to Business and Financial Statistics,TuTh 10:00am–11:30am,160
COMPSCI,51,Introduction to Computer Science II,TuTh 1:00pm–2:30pm,165
ECON,1630,Economics of Sports and Entertainment,TuTh 10:00am–11:30am,170
MUSIC ,1b,Introduction to Western Music from Beethoven to the Present,MWF 1:00pm–2:00pm,179
GOV,1790,American Foreign Policy,TuTh 10:00am–11:30am,185
SOC-WORLD,24,Global Health Challenges: Complexities of Evidence-Based Policy,MW 10:00am–11:00am,185
US-WORLD,19,American Food: A Global History,TuTh 11:00am–12:00pm,190
SCI-LIVSYS,20,Psychological Science,TuTh 2:30pm–4:00pm,213
PHYSCI,3,"Electromagnetism, Circuits, Waves, Optics, and Imaging",TuTh 9:30am–11:00am,219
ENGLISH,168d,Postwar American and British Fiction,MW 2:00pm–3:00pm,228
PSY,15,Social Psychology,MW 1:00pm–2:30pm,230
SOCIOL,43,Social Interaction,TuTh 11:30am–1:00pm,232
CHEM,27,Organic Chemistry of Life,MW 2:30pm–4:00pm,259
HAA ,11,Landmarks of World Architecture,TuTh 12:00pm–1:00pm,264
ENGLISH,156,Crime and Horror in Victorian Literature and Culture,TuTh 12:00pm–1:00pm,268
ECON,1010b,Macroeconomic Theory,MWF 9:00am–10:00am,295
GOV,1310,Introduction to Congress,MW 10:00am–11:00am,343
STAT,104,Introduction to Quantitative Methods for Economics,Monday 11:00am–12:00pm; Monday 11:00am–12:00pm; Monday 1:00pm–2:00pm; Monday 1:00pm–2:00pm; Wednesday 11:00am–12:00pm; Wednesday 11:00am–12:00pm; Wednesday 1:00pm–2:00pm; Wednesday 1:00pm–2:00pm; Friday 11:00am–12:00pm; Friday 11:00am–12:00pm; Friday 1:00pm–2:00pm; Friday 1:00pm–2:00pm,352
SCI-LIVSYS,19,Nutrition and Global Health,M 3:00pm–5:00pm,360
PHYSCI,1,"Chemical Bonding, Energy, and Reactivity: An Introduction to the Physical Sciences",MWF 10:00am–11:00am,414
LIFESCI,1b,"An Integrated Introduction to the Life Sciences: Genetics, Genomics, and Evolution",TuTh 1:00pm–2:30pm,434
ECON,10,Principles of Economics,MWF 12:00pm–1:00pm,689
Field,Number,Title,Meetings,n (Past Enrollment)
Scan Spring ‘12 FAS courses (undergraduate level) on courses.CS50.net and record data for courses with past enrollment > 30
